datetime,stkcd,open,high,low,close,amt,vol,change,pct_change
2024-04-23 09:36:00,000300.SH,3522.767,3522.767,3518.274,3518.274,2250615969.0,1460389.0,-4.62,-0.001311
2024-04-23 09:37:00,000300.SH,3518.331,3518.69,3515.384,3515.384,2119014685.8999977,1349863.0,-2.89,-0.000821
2024-04-23 09:38:00,000300.SH,3515.15,3518.033,3515.15,3517.387,2225630452.200001,1412774.0,2.0,0.00057
2024-04-23 09:39:00,000300.SH,3516.89,3518.415,3515.508,3516.68,2436796922.799999,1892628.0,-0.71,-0.000201
2024-04-23 09:40:00,000300.SH,3516.557,3519.013,3515.913,3519.013,2855452000.200001,1846501.0,2.33,0.000663
2024-04-23 09:41:00,000300.SH,3518.794,3518.798,3516.399,3516.399,1978807034.7000008,1218080.0,-2.61,-0.000743
2024-04-23 09:42:00,000300.SH,3516.49,3518.773,3516.49,3517.823,2046740682.4000015,1298408.0,1.42,0.000405
2024-04-23 09:43:00,000300.SH,3518.341,3518.601,3517.134,3518.465,1961268308.7999954,1454519.0,0.64,0.000182
2024-04-23 09:44:00,000300.SH,3519.044,3519.044,3515.624,3515.624,1694692144.600006,1159803.0,-2.84,-0.000807
2024-04-23 09:45:00,000300.SH,3515.476,3515.476,3512.696,3512.696,1743668732.0999985,1190821.0,-2.93,-0.000833
2024-04-23 09:46:00,000300.SH,3512.415,3512.429,3510.406,3511.4,1592629112.5,927861.0,-1.3,-0.000369
2024-04-23 09:47:00,000300.SH,3510.825,3511.009,3508.661,3509.462,1443674071.7999954,909900.0,-1.94,-0.000552
2024-04-23 09:48:00,000300.SH,3509.559,3512.834,3508.246,3511.435,1721683862.5,1124858.0,1.97,0.000562
2024-04-23 09:49:00,000300.SH,3511.578,3511.578,3509.669,3510.416,1367258242.0,876049.0,-1.02,-0.00029
2024-04-23 09:50:00,000300.SH,3509.666,3509.666,3507.632,3507.632,1765017634.4000015,1220782.0,-2.78,-0.000793
2024-04-23 09:51:00,000300.SH,3507.739,3507.739,3504.943,3506.155,1597470136.2000046,931289.0,-1.48,-0.000421
2024-04-23 09:52:00,000300.SH,3506.504,3506.799,3505.406,3506.301,1515540225.699997,933480.0,0.15,4.2e-05
2024-04-23 09:53:00,000300.SH,3506.041,3508.472,3505.427,3507.58,1431060333.9000015,866262.0,1.28,0.000365
2024-04-23 09:54:00,000300.SH,3507.73,3509.739,3507.586,3509.739,1486136845.0999985,1112562.0,2.16,0.000616
2024-04-23 09:55:00,000300.SH,3509.986,3509.986,3508.462,3508.462,1159374307.9000015,726064.0,-1.28,-0.000364
2024-04-23 09:56:00,000300.SH,3508.349,3508.349,3507.068,3507.262,1045077141.0999985,613661.0,-1.2,-0.000342
2024-04-23 09:57:00,000300.SH,3507.235,3508.995,3507.235,3508.134,1096585431.800003,695951.0,0.87,0.000249
2024-04-23 09:58:00,000300.SH,3508.354,3508.379,3507.327,3508.012,1015416850.2999954,590684.0,-0.12,-3.5e-05
2024-04-23 09:59:00,000300.SH,3508.412,3510.815,3508.412,3510.815,1281560304.5,906592.0,2.8,0.000799
2024-04-23 10:00:00,000300.SH,3510.665,3510.665,3508.897,3509.509,1077788663.800003,701012.0,-1.31,-0.000372
2024-04-23 10:01:00,000300.SH,3509.637,3510.06,3508.323,3508.323,1041330840.5999985,714729.0,-1.19,-0.000338
2024-04-23 10:02:00,000300.SH,3507.761,3508.409,3507.323,3507.534,1528599388.5999985,1215324.0,-0.79,-0.000225
2024-04-23 10:03:00,000300.SH,3508.698,3509.163,3507.351,3507.885,1257727613.0999985,848515.0,0.35,0.0001
2024-04-23 10:04:00,000300.SH,3507.619,3511.06,3507.155,3510.511,1190006233.800003,833835.0,2.63,0.000749
2024-04-23 10:05:00,000300.SH,3510.36,3510.438,3508.9,3509.492,939439707.199997,610228.0,-1.02,-0.00029
2024-04-23 10:06:00,000300.SH,3509.153,3509.486,3507.618,3508.557,1105435604.600006,801600.0,-0.94,-0.000266
2024-04-23 10:07:00,000300.SH,3508.871,3509.683,3507.841,3508.219,1327594029.5,909131.0,-0.34,-9.6e-05
2024-04-23 10:08:00,000300.SH,3508.332,3512.346,3508.332,3510.662,1418266838.5,1087885.0,2.44,0.000696
2024-04-23 10:09:00,000300.SH,3510.626,3510.626,3509.565,3510.123,796264353.0999908,488934.0,-0.54,-0.000154
2024-04-23 10:10:00,000300.SH,3510.094,3511.453,3510.094,3511.304,1042282853.7000122,607413.0,1.18,0.000336
2024-04-23 10:11:00,000300.SH,3511.145,3511.201,3510.524,3510.676,1037406094.8999939,635556.0,-0.63,-0.000179
2024-04-23 10:12:00,000300.SH,3510.719,3511.291,3509.927,3510.144,1011406554.199997,640462.0,-0.53,-0.000152
